sid,text,true_speaker,all_names,is_self_intro,self_intro_name,
658438,"Good afternoon Mr. Chair and members. Usha Mutschler on behalf of the California State Sheriff Association in respectful opposition to AB 931. We just want you to let you know that the 58 elected sheriffs around the state certainly understand the sentiment that appears to be driving this effort. But however, AB 931 would mandate that every agency's policies be revised. And tens of thousands of peace officers receive extensive, new training. This proposal does not contemplate the cost, time, and resource impacts on agencies. Perhaps, the only thing worse than converting to this standard, which will jeopardize the lives of peace officers and those who they are sworn to protect. Is a mandate that this change be done without any time to adjust policies and properly train peace officers. For these reasons, we respectfully ask that you vote no on this policy, thank you.",Usha Mutschler,Usha Mutschler,1,Usha Mutschler,
344497,"Good morning, Madam Chair and members. AB 324 simply closes a loophole, that can make it difficult to prosecute disorderly conduct or acts of invasive voyeurism. This offense consists of photographing or recording an individual in a state of partial or full undress and without their consent. And this removes the requirement that makes that crime more difficult to prosecute. I respectfully ask for an aye vote.",Kevin Kiley,,0,,
457081,"Well, thank you, I'm Mike Dayton. I'm the Deputy Director at the Department of Emergency Management in San Francisco. I really appreciate the opportunity to be here today, and I really appreciate your interest. I look forward to sharing some of San Francisco's approaches to emergency management and some of the things we're doing to improve our overall preparedness to a catastrophic earthquake. Dr. Parrish kind of gave you the grim assessment of earthquakes. It's a reality to us. It's not a matter of if, it's a matter of when. This reality drives our sense of urgency when it comes to preparedness. And to put the risk in context, let me just give you what we anticipate locally, as some of the impacts of just a 6.9 earthquake on the San Andreas Fault. Over 340,000 people would be without potable water. Over 250,000 people would be without electricity. We'd have a major disruption, as you noted earlier, to our transportation infrastructure, which will impede access for mutual aid resources. We'd have over 100,000 displaced households. We'd have close to 60,000 people seeking shelter. We'd have hundreds of fires and collapsed structures throughout the city. So, this afternoon, I would like to highlight a few of our major exercises, some of the significant mitigation investments the city has made in our community preparedness efforts, and conclude with some of the initiatives we're pleased to be working on with Cal OES. So with respect to our exercise program, I'd like to touch on two of the most significant, Fleet Week and Epicenter. Fleet Week is an annual exercise we hold every October. So we do this in partnership with the Department of Defense. This year's full scale exercise will focus on medical surge. We anticipate that in the first week following a major earthquake, hospitals will become inundated with patients with an assortment of injuries and illnesses requiring treatments. Depending on the magnitude, the casualty count could become extreme enough to reach beyond the capacity of the city. Thereby providing no room for trauma patients that continue to arrive with urban search and rescue crews and other response elements. So in this scenario, the Zuckerberg San Francisco General Hospital will make a determination to erect a field care clinic. The field care clinic will alleviate some of the overflow. Patients with critical care needs would still arrive regularly. So in this instance where the city that has no more trauma capabilities the San Francisco General Hospital, in coordination with the city's Department of Public Health. And our Department of Emergency Management; would submit a mutual aid request to the state for state and federal medical support. So these would include the California AMSA medical facilities, the California National Guard security elements and the Department of Defense Shock Trauma Platoons. In addition to this full scale exercise, this year's two day senior leader seminar will focus on the work we have done with the Port of Oakland, Cal OES, FEMA, and the United States Coast Guard, focusing on port resumption. You raised transportation earlier and Ms. Curry mentioned our unique challenges in the Bay Area in terms of transporting over water. It's a particular concern for us. Because on any given day in San Francisco, if the event happens during work time, we've got about 450,000 people that come into the city everyday to work there either commute and visitors. So we would have to get upwards of 400,000 people evacuated out of the city, or either shelter in place. And then an additional challenge is also bringing people into the city that are disaster service workers or part of the mutual aid response system. Part of our exercise this year will also focus on fuel. Obviously fuel is a major dependency in response and recovery efforts. Our second major exercise is epicenter and it is always focused on our earthquakes in our area. We hold it every April just prior to the anniversary of the 1906 Great Quake. We've got a great partnership with the Salvation Army and the American Red Cross. And it's really more of a mass care and sheltering, focusing on the immediate human needs in the aftermath of a disaster. Last year we had the California Earthquake Authority that's here today as one of our sponsors so I appreciate their help. Last year we focused on transportation, infrastructure, mutual aid, mass care, housing and human services and long-term recovery. In 2008, we'll build on this work, and strengthen our relationships and plans to provide mass care and feeding to the displaced populations, clear debris and restore priority transportation routes, better prepare the financial district to care for the workforce, and also engage grocery stores, food distribution centers to maintain a continuity of their supply chains because it's not unique to San Francisco. This is also similar to Los Angeles where you have all the major food distribution centers and warehouses on the other side of faults. And we can either rely on FEMA and Cal OES to provide the calories that San Franciscans need, or people in Los Angeles where we can make our transportation lines more resilient due to the advanced planning to take advantage of grocery inventories that are near by. So we're probably taking the second route or putting an emphasis on the second avenue. With respect to some of the significant investments to San Francisco's infrastructure to make it more resilient, I'd like to note that the city has invested more than $9 billion in seismic retrofits since the Loma Prieta earthquake in 1989. Some of the examples of this include the earthquake safety emergency response bond program. This is focused on retrofitting hospitals, our fire stations and our alternative water suppression system that the fire department relies upon to put out fires after an earthquake. This also includes the water system improvement program. This was a $4.8 billion capital upgrade project which has made the water system more resilient and as Dr. Parrish noted in his presentation. But despite the significant investments and infrastructure, we know that community preparedness would be the key to empowering neighbors to help one another in the immediate stress of a catastrophe. We have several programs aimed at engaging and empowering the community. First we have the SF72 program, it is a people center vision of emergency preparedness. I mean nobody likes to think about emergencies but we tried with SF72 to take the mystery out of what is the process where you can get yourself and your family prepared. We've partnered with Google on this and we created City 72. So basically the design of our program is available for free for other communities to adopt. We've seen cities across the country adopt a similar preparedness program. Secondly, we have the Neighborhood Emergency Response Teams that I think you're probably all familiar with in your communities. And maybe CERT teams or Community Emergency Response Teams in your neighborhood. But this was an outgrowth of the Lorna Prieta earthquake as well. So this is a free program to our residents to learn basic life-saving skills and to participate as a response entity in their neighborhood, as a neighborhood response team. And then finally emergency management is really a team effort. It takes cooperation as Tina Curry said, from all disciplines in the whole community at all levels of government. Having said that, I'd just like to commend Tina and Ryan and all of their colleagues at Cal OES for just a few of the important initiatives they are leading. We talked about earthquake early warning, Anne Kronenberg, my boss, Executive Director of the Department, is thrilled to be on the advisory board. Our biggest things are to get early warning to the schools and to the fire stations. And then also the Bay Area Catastrophic Planning Effort that Cal OES is leading, we're pleased to participate in that. And then the Emergency Management Mutual Aid Program is basically the emergency managers construct to be able to send our emergency managers to help other counties in need. Since 2015, we've sent about 20 city employees to help out fires through out the state. And then just lastly, I know you're crunched for time but I would like to mention just two mitigation policies that the city has adopted. In 2010, we had a community action plan for seismic safety study. It lead to the adoption of mandatory soft story retrofit ordinance. This legislation requires the evaluation and retrofit for multi-unit soft story buildings defined as wood framed structures containing five or more residential units having two or more stories over a soft or weak story. And permitted for a construction prior to January of 1978. This covered over approximately 5,000 buildings and about 115,000 residents. So almost an eighth of our residents have a greater chance of surviving an earthquake as an outgrowth of that ordinance. And then we also have the Building Occupancy Resumption Program, which allows San Francisco building owners to pre-certify a private post earthquake inspection of their buildings. And this is really just geared to getting businesses back to normal more quickly after a disaster. But with that, again I really appreciate your interest and appreciate the partners here so thank you.",Michael Dayton,Mike Dayton | Parrish | Tina Curry | Anne Kronenberg | Zuckerberg | Curry,1,Mike Dayton,(nickname)
475532,"Thank you, Mr. Speaker and members. AB 434 is back on concurrence from the Senate. This is a bill that is to ensure that all Californians, including those with disabilities can better access our state websites. In 2016, the State Auditor found that we were doing a terrible job of being accessible in our online services to constituents. And this bill is to improve that. The Senate amendments improve the bill, and make it even more efficient and less expensive for the state to comply. I respectfully ask for your concurrence. Thank you.",Catharine Baker,,0,,
499154,Thank you Madam Chair.,John Moorlach,,0,,
382299,"Thank you, Madam Chair.",John Doherty,,0,,
615157,"Thank you, at the appropriate time, we'll entertain a motion and until then, I thank you very much. Thank you, Chair. Assemblymember, Quirk. I'll say it quickly before anyone can walk in the door.",Jerry Hill,,0,,
508008,"Thank you, ma'am. Hi, Committee Members. Again, my name is Ron Halog. I'm the Executive Director for CRIL, Community Resources for Independent Living, and also a member of the Lanterman Coalition. We are in support of the Lanterman Coalition. Just to let you know, I heard a two-bedroom for $1,400 in Stockton area. In Hayward, it's one bedroom at $1,600. And so, it not only has to be affordable and accessible, but also subsidized. And so, for people to live in our area, we have to make it work. And again, I believe in sustainability of this and fully support the Lanterman Coalition.",Ron Halog,Ron Halog,1,Ron Halog,
570632,My name is Lynn Lambrecht and the founder of The Living Planner. And I am a board member of NAWBO in San Diego.,Lynn Lambrecht,Lynn Lambrecht,1,Lynn Lambrecht,
667637,"Thank you, Madam President. AB 2735 prohibits English learners in middle and high school from being excluded from core curriculum courses. Research over many decades, shows that English learners can experience limits on their opportunity to learn.  Additional research has shown that English learners have been prohibited from taking core courses, and instead are enrolled in remedial courses, which do not provide full access to the Core Curriculum. AB 2735 makes it clear that English learners must have the opportunity to learn by studying the Core Curriculum in our schools. This is a necessary step in ensuring that all of California students have the opportunity to learn. I respectfully ask for your aye vote.",Ben Hueso,,0,,
428181,"Mr. Chair and members. ... on behalf of the California Medical Association. We are not formally opposed to this bill. We do recognize a lot of the work both on the author's staff and the Committee staff that went into this bill. We do still have some concerns regarding educational opportunities in the rural and kind of solo, small group settings. I think it's easy for a healthcare system like UC or Kaiser to implement certain standards, but a rural doc who doesn't have access to the same type of resources. We just want to make sure that there's no unintended consequences in legitimate above board educational activities, would be prohibited under this bill. And so this concern's been raised with the author, and we continue to look forward to working with them on some sort of resolution. Thank you. Mr Chair, Kristen ... with the California Rheumatology Alliance. We are opposed unless amended. With the amendments we were getting closer. We still have some questions on the amendments. There is some uncertainties, as were raised. So we look forward to working with the author's office and his staff to get those questions answered. Thank you.",Unidentified Speaker,Kristen,0,,
388943,"I move AB 653. Our final item is file item 5, AB 653 by the Chair. There's been a motion by Mr. Quirk. You may proceed.",David Ozgo,Quirk,0,,
575360,My name is Isaac Gala and I strongly oppose this bill as amended.,Isaac Gala,Isaac Gala,1,Isaac Gala,
352066,"Move the bill. I second. Well, I have a question. Mr. Chair, I just want to say thank you to the author. As you know, I've been trying to keep myself very involved in trying to, in this space of trying to increase the amount of home stock that we have available, especially for new homeowners. My only concern is I represent a district that was heavily hit by the economic down turn and if not for institutional investors some of our neighborhoods would have been completely eviscerated and filled with squatters. So I'm going to vote against this bill. It isn't because I don't believe in the merits of supporting the idea of creating more stock for new homeowners. But I would be very reluctant to discourage any institutional investing when really they came and just save neighborhoods in my district.",Marc Steinorth,,0,,
512888,"And us trying to create something, at least maybe, a different training for members that really focuses on the type of experiences that we have that's different in putting us in some of those more problematic situations, and kind of working us through some of those situations is a terrific idea. I'm very glad that you brought that to the forefront of kind of how irrelevant the training is that we hear here.",Laura Friedman,,0,,
358434,"You got it, okay. And then with regard to number five, I'm looking at, you've got a variety of provisions in the bill. Requires citizen counties to do the following. One of them, on my list it's number five, it doesn't determine the contract doesn't displace employees. Does that mean if it does, they wouldn't be able to contract out or they could move that employee over to another position?",Patrick O'Donnell,,0,,
523122,"Thank you Madam President, Senators. I wish to adjourn in memory of a young man in my district, Stephon Clark. Two weeks ago, Stephon was shot and killed by two police officers in his grandmother's backyard after being pursued by law enforcement.  Stephon Clark was 22 years old and a father of two boys, ages 1 and 3. His family described him as a fun loving, outgoing, and devoted to his family. He loved football, video games, and shoes. And while he experienced many challenges, he was trying to turn his life around. Last week Stephon's family said their final farewell to their beloved grandson, father, brother, and fiance. And we here in Sacramento are wrestling with what his life represents and how he died. Stephon Clark grew up in underprivileged neighborhoods in Sacramento, one of the most diverse cities in one of the most diverse states here in California and our country. Unfortunately, black and brown people often fear law enforcement, but we should not be surprised. Black men are 13 times more likely to be shot than white men. And black men have disproportionately died at the hands of law enforcement. We clearly have a big problem here in America when we've seen it played out in too many deaths of black men and women. And we have a big problem right here in my beloved City of Sacramento. Stephon Clark's death like too many before him, was a preventable tragedy.  Our city leaders and Police Chief have quickly made public the videos of the event and have sought an independent investigation by the Attorney General. And I have to believe my city will have the leadership and strength of will to confront and solve this problem.  And we may need your help to do so. But Stephon Clark cannot be another statistic. His family and community need more than our thoughts and prayers. So let us remember Stephon Clark as a man whose untimely death also led to the end of an injustice. Thank you.",Richard Pan,Stephon Clark,0,,
364798,"Members just to add on to that, yes the decisions must remain within the confines of state law, but the Commission does retain a white swath of discretion and so this is a very important policy body in our state regarding transportation matters and I certainly ask for your support on this bill.",Sabrina Cervantes,,0,,
473507,"Thank you. And I'm asking because I really want to know. This is not a gotcha question. According to what I have, these enhancements, a judge has the discretion to get rid of an enhancement for assault with a firearm on a police officer. Is that correct?",Melissa Melendez,,0,,
332750,"Thank you, Madame Chair. Members, Marty Veranacar, on behalf of the California District Attorney's Association. We're in support of this measure.",Marty Veranacar,Marty Veranacar,1,Marty Veranacar,
444120,"That bill has four votes, it's up but we will hold the roll open. Thank you very much and thanks for your patience. All right, next up is File Item 11, we're in file order but you're here, and so File Item 11 it is. Do we have anyone else here in? Nope. We will proceed, good afternoon Assemblymember.",Hannah-Beth Jackson,,0,,
334048,"Mr Chair and members, Paul Gladfelty on behalf of Caterpillar Inc and its dealers. Our dealers are in the business of selling equipment. However, there are economic downturns, as we all know. They have good customer relations, want to continue those customer relations. And sometimes, there are occasions when they have to take back equipment. These are all friendly take backs, as a practical matter. It's only a handful that they do take back. And as the gentleman from Mr. Deere said, they're actually saving money by doing that. And it's done in a friendly manner. So with that, we have not seen any type of issues over the last four years with the current law. And would suggest that we continue it without the sunset. So thank you very much.",Paul Gladfelty,Paul Gladfelty,1,Paul Gladfelty,
428163,"Thank you, please. My name is Emily Rusch. I'm the Executive Director of CALPIRG, the California Public Interest Research Group, statewide consumer group. In recent years, our health insurance rate watch program has reviewed dozens of health insurance companies' rate filings at the Department of Insurance. And we found prescription drug prices to be a significant driver of premium increases overall. I want to start by applauding the members of this Committee and the members of the Senate Health Committee for embarking on a number of strategies to lower the high cost of prescription drugs. Including the vote you held earlier today on SB 17. We believe that this bill, SB 790, is a really important complement to the other efforts that you have been undergoing. Every year in the United States, $73 billion is spent on brand name drugs, for which an equivalent generic is available at a significantly lower cost. $73 billion. Common sense tells us that pharmaceutical companies spend $1.4 billion on gifts to doctors in California, because they know it'll influence their prescribing habits. So if we're going to lower the high cost of prescription drugs and that effect of that on our premiums here in the state, we want to make sure that doctors aren't unduly influenced by brand name prescription drug marketing habits. It was our study back in 2008 that Senator Mcguire mentioned, playing by their own rules, that analyzed the prescription drug companies' voluntary gift limits. And concluded that manufacturers have created limits that, in many cases, fail to constrain their actions at all. We think that this bill is a common sense approach. As Senator Mcguire noted, there's been a number of amendments taken, and we strongly urge your support. Thank you.",Emily Rush,Emily Rush,1,Emily Rusch,
552523,"So 11- 4. Item number 24, Mr. Gibson, AB 28... We just did that, I'm sorry. Item number 24, AB 20 863, Mr. Nazarian. Please open the roll, call the absent members.",Jim Wood,Gibson | Nazarian,0,,
388416,"Sure, so I, there. She's super creepy. Yeah. I'm glad she's looking at you, though.",Laura Bennett,,0,,
558554,Very good. This is not ours. If you could give me just one moment.,Hannah-Beth Jackson,,0,,
485677,"Dr. Barsky, maybe using your metaphor is a good one for my question. There are many who view the failure rate of our students in the academy as a crash that's been going on for decades now. Where tens of thousands of students who have followed all the rules, gotten all the grades, the test scores, been admitted, are crashing out of our universities with nothing to show for it except for debt. And this is not something that has been obscured certainly to the system leadership, the campus leadership, to the faculty of what the problem has been. It's pretty clear, so I appreciate that consultation is a sensitive thing, an important one, and the process for that is also sensitive and important. But I guess what I'm left a little confused about with your testimony is that this is a serious crisis what's going on on our campuses today in California. And it requires, from all of us, leadership and industriousness to do what it takes to try to get the ship back afloat, so our kids aren't sinking and drowning. And that's the part of it that creates some level of frustration for me. The remedial failures have been out there for a long long time. I mean, the folks in Tennessee didn't just see it yesterday. They saw it more than a decade ago, and tried to do something about it. And they seem to be doing something that's working now. But as it is, we haven't stepped up to try to figure out until more recently. And a proposal's been put forward to try to do something about it in a substantive way. And I think it makes everybody uncomfortable, everybody. If you're a high school math teacher, I think you've probably been pretty uncomfortable for a long time. When you've been passing your kids out and then having them fail, and being able to be college ready in math. So I appreciate the challenges that the faculty are facing to try to get up to speed. And I appreciate that the consultative process may have fallen short. But we have to do something to rescue our kids, our students that are dropping out and failing every year. And that's what leaves me somewhat frustrated by your testimony, to be candid about it.",Steven Glazer,Barsky,0,,
428811,"Mr Chair and members, Gregory Kramer on behalf of Planned Parenthood Affiliates of California. We're proud to co-sponsor Senate Bill 743. We would like to also echo the comments of the former witness, as well. And I would just like to specifically say though since 2013, Planned Parenthood has seen a proliferation of Medi-Cal managed care patients enter our doors. Under the implementation of the Affordable Care Act. In 2013 alone, the number of Medi-Cal managed care patients amounted to approximately 8% of our total patient base. But now, at least according to 2016 numbers, 31% of our patients served are under Medi-Cal managed care. So in short, we have seen a fourfold increase in these types of patients. And so Senate Bill 743 ensures that patients across the state may receive the reproductive healthcare that they desire. At their preferred and trusted provider, like Planned Parenthood. So with that, we respectfully ask for your aye vote.",Gregory Kramer,Gregory Kramer,1,Gregory Kramer,
634778,"Griselda Barajas, the chair of the Stockton Boulevard Partnership.",Griselda Barajas,Griselda Barajas,1,Griselda Barajas,
562753,Thank you Vice Chair. Ms. Friedman?,Jim Frazier,Friedman,0,,
406371,"Thank you, Mr. Speaker and members. I'm pleased to present to you today, AB 1444. This is a bill that will authorize the Livermore Amador Valley Transit Authority to conduct a pilot project for testing of autonomous shuttles in Dublin, California. And specifically it will connect the bar transit stations to commuter stops and neighborhoods throughout the trivially area, particularly in Dublin. This bill builds on legislation that this body adopted last year that will test autonomous shuttles in neighborhood settings and in office settings. This is the natural area to test so that we are sure to have a connection with that last mile shuttle technology. It has received great bipartisan's support and I respectfully ask for your aye vote.",Catharine Baker,,0,,
516218,"Well, thank you, thank you so much for being here.",Richard Pan,,0,,
333122,"Thank you very much, Mr. Chair. Very pleased to be here to present this bill today.",James Gallagher,,0,,
578615,"Chiu? Here. Chiu, here. Maienschein? Here. Maienschein here. Chau? Choi? Gloria? Here. Gloria here. Limon? Wood.",Committee Secretary,Chiu | Maienschein | Gloria | Limon | Wood,0,,
302917,"My main concern is obviously safety, and the last thing I want to do is see one of my firemen go down. And when they don't have a landline and their cellphone doesn't work, and the walkie-talkie, or whatever you call it, is not working. And they could help prevent a fire or not prevent somebody from dying. That's why I'm really concerned about, I want to see FirstNet or something work. Because there's nothing worse, and I wouldn't want to be their shoes for a minute. And so I'm very protective of our public safety, as you are, as all of you are. So I appreciate what you're doing. But the FirstNet, I'm kind of stumped that it hasn't moved along farther. It's been four years, five years since I testified. Yeah. And it affects federal agencies. So for instance, outside of Winters, we have a dam. If we don't have connectivity there, it affects Travis Air Force Base. So it seems to me we have a good linkage for some of these places as long as it keys into federal projects. So I'm just curious, as that goes on, I would really be appreciate it if we were informed.",Cecilia Aguiar-Curry,,0,,
465805,"It's a larger question, but let me just give a couple of examples of ways to maybe think about it. On the one hand, one issue is a question of time frame. So clearly, in the short run, say for example, during the emergency regs, where people didn't have a glide path to think about it. There was an issue of having to talk about rates to cover fixed costs for folks who hadn't done it. The rate structures are different all across all 411. I mean, there are more flavors of that than there are at Baskin-Robbins. So there are all kinds of different ways of doing rate structures, there's not just one. And in trying to raise rates and do that with your customers, you do have to spend a lot of time talking and we don't make it easy in California. So it does take a lot of work and it takes a lot of time, and I think there was a lot of pain in the short run during the drought. This is talking long-term. Long-term, it is much cheaper to be able to integrate efficiency at a reasonable level, so you can put off building more facilities, you can put off bringing more water. We're talking about a longer term play to integrate efficiency into our long-term planning. And just speaking from my experience as a public works director, where I had to raise rates and get bonds passed and do all of that, we invested in conservation, because we knew that would extend the life even of our wastewater facilities. So there are agencies that have spent time trying to integrate what they can do in efficiency, not at a hair shirt level, at a reasonable basic level into their thinking, and they've been able to put off facilities, whether it's a $20 million facility, or a $100 million facility, or whatever. If you can put that off for five years, for 10 years, that's a great benefit to your rate payer. because as you're putting your rates together, it's a combination of what's my cost today, but what do I have to invest in for the future. And the drivers that make water more and more expensive are manifold, depends on where you are, every place has a different mix of water sources. I mean, some people take it from a river they can see, that is not the vast majority of Californians. Most get it from hundreds of miles away, and from multiple sources in a very complex miracle actually, that unique and modern history. But it's expensive and it gets more and more expensive. So to the extent, you can put off some of those investments we know we're going to make. It's going to save money in the long run for the rate payer. So some of the issues you raised, they become difficult to explain to rate payers in the short-term, but people have and you can, it's just not easy.",Felicia Marcus,,0,,
604366,"Thank you. Hello, my name is Stephen Keppel, I'm representing Univision. We're here on behalf of our Hispanic audiences particularly the Spanish speakers and the 5 million Latino-Californians that are in hard to count communities. Many of these people are members of the Core Univision Audience, and consumers of other Spanish Language Media. So we know that that's extremely important. I also had the privilege to help lead our ACA Outreach efforts in 2013 and 2014. Reiterating some of what was said before, I think, some of the key reasons that worked well was the combination of philanthropy. We worked very closely with the California Endowment, The state Covered California was a big partner. Local organizations and CBOs were key to the effort, as well as media. We had a great media collation of Spanish Language Media Groups, TV, radio Print and everything, and we think that's important. Two big things that are going to be needed for this, I think, are time. Making sure we have enough time to get the information out there, and resources. So I'm counting on Univision as a partner in this effort, thanks very much. Thank you.",Stephen Keppel,Stephen Keppel,1,Stephen Keppel,
629689,"Dr. Choi, I have proposed something like that to be proportional. I just, I think at this time, without further data, to go from what is being paid for right now down to zero with all of the new requirements that this bill is requiring in addition to all the requirements that we put on local jurisdictions around ADUs, feels incredibly onerous.  So I certainly appreciate Mr. Gloria's point, and I agree, I think these fees very likely need to be reduced, but I'm just not certain right now if it needs to be reduced from 100% down to 0. And again cities that believe that an amnesty make sense can go foward and do it, and that's what San Diego has done. And I encourage other cities if they choose to do that.  That is something they can do as well. But to have the state tell every local jurisdiction, tell your City of Irvine, you know what, you can't collect fees, even if you're going to spend tens of thousands of dollars implementing all the requirements that Sacramento's asking you to implement. That just feels onerous.  So we had offered some what we referred to as more proportional language to try to reduce the fees without eliminating the fees. Senator Wieckowski, I don't know if you have thoughts on that?",David Chiu,Choi | Gloria | Wieckowski,0,,
